V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2017.7999,2016.7418,2016.3348,2018.9396,2015.8464,2017.0674,2019.835,2017.3116,2018.1256,2017.7186,2019.021,2018.0442,2016.6604,2020.8931
2975.3794,2976.9658,2980.667,2979.6096,2981.4602,2977.2302,2979.8738,2982.2532,2981.7246,2990.0525,2982.2532,2984.236,2979.8738,2990.8455
1115.3245,1112.7625,1124.6449,1122.8451,1114.4513,1121.5963,1122.6982,1119.1537,1122.441,1117.1334,1139.3374,1128.1711,1129.9342,1123.7634
1193.0336,1226.1049,1225.0337,1242.7322,1231.3378,1240.6094,1241.421,1265.7085,1282.6909,1267.9562,1330.8911,1290.4329,1305.4174,1296.9261
5831.082,5826.175,5831.7827,5839.494,5832.484,5835.288,5830.381,5824.7725,5826.175,5825.4736,5826.8755,5823.3706,5817.762,5833.185
3253.6875,3257.0847,3252.555,3243.4956,3262.7468,3259.3496,3241.2307,3242.363,3243.4956,3242.363,3268.409,3250.29,3257.0847,3263.8794
5331.8086,5239.4956,5418.352,5377.965,5251.0347,5504.8955,5412.5825,5308.7305,5337.578,5360.6562,5516.4346,5447.1997,5297.1914,5354.8867
1737.2067,1739.7357,1739.7357,1736.7008,1736.7008,1734.1718,1736.7008,1735.1833,1737.4596,1734.4247,1734.6776,1736.4479,1736.9537,1739.23
1590.6232,1592.612,1592.612,1590.1813,1590.6232,1587.7504,1589.7393,1588.4133,1589.5183,1587.9713,1587.3083,1589.2972,1589.5183,1591.7281
2628.5342,2634.2126,2627.777,2634.2126,2621.7202,2632.6985,2623.9915,2626.263,2622.4773,2632.3198,2631.1843,2630.8057,2633.4556,2622.0986
2438.7734,2443.9795,2443.9795,2439.905,2436.3967,2434.699,2444.2058,2434.1333,2434.1333,2437.9812,2439.905,2446.9219,2444.2058,2437.0757
3643.272,3642.409,3641.546,3643.272,3641.1145,3648.881,3646.2922,3651.4702,3649.7441,3644.5664,3647.1553,3637.2312,3640.2515,3635.9365
