V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
609.6116,574.4429,534.43445,529.27203,498.2978,515.0755,449.2552,491.8448,529.27203,545.4045,568.6352,672.77,656.07294,755.1261,717.69885,788.6815,720.28,819.0105,806.7499,757.06195,767.3867,762.8696,734.47656,638.6499,616.70984,594.1244,567.3446,526.04553,493.1354,469.90472,517.0114,502.16956,493.1354,564.1181,595.09235,602.83594,648.2487,721.5706,742.8654,752.5449,813.84814,787.3909,760.9338,765.4508,808.04047,767.3867,737.3804,650.8299
2784.8713,2636.1587,2504.8628,2352.1306,2269.066,2279.784,2022.551,2194.0396,2220.8347,2384.2847,2346.7717,2763.4353,2756.7366,3181.4387,3079.6174,3391.7803,3190.8171,3504.3198,3678.4878,3335.5107,3418.5754,3367.6648,3252.4458,3009.6152,2903.2722,2563.812,2587.9275,2344.0923,2199.3987,2081.5002,2279.784,2081.5002,2220.8347,2306.579,2555.7734,2582.5684,2830.423,3041.4346,3204.2146,3164.022,3520.3967,3582.0254,3340.8696,3405.1777,3488.2427,3485.5632,3402.4983,2972.772
1067.1951,1049.0928,1052.5592,1008.6516,980.9204,953.18933,911.5926,933.16125,944.7159,935.47217,925.4581,1034.0718,1028.6797,1148.6553,1123.3314,1215.4796,1147.5962,1234.3523,1319.8566,1206.236,1234.3523,1274.4083,1162.5209,1190.8297,1125.9312,1069.1208,1072.2021,1012.5031,968.59546,929.3097,995.55634,903.8895,894.64575,932.3909,1006.34064,1046.7819,1072.5873,1108.6956,1135.7527,1160.9802,1236.6632,1297.5176,1233.5819,1222.7976,1277.4896,1252.8397,1279.8005,1192.7555
5123.8623,4910.4634,4806.902,4567.9487,4345.5835,4255.92,3721.5254,3778.9102,3900.8523,3735.8716,3936.7178,4098.1123,4137.564,4446.0063,4401.175,4919.878,4693.4775,5166.901,5374.9204,5245.8047,5281.6704,5475.3433,5543.488,5211.733,5242.2183,5077.2373,4957.0884,4614.5737,4478.285,4062.2466,4033.5542,3900.8523,3714.3523,4169.843,3961.8235,4026.3813,4223.641,4460.3525,4868.3213,4832.232,5260.151,5123.8623,4965.158,5229.6655,5453.824,5493.2764,5629.5645,5231.4585
2714.1165,2530.1555,2450.943,2187.7698,2019.531,1965.0537,1686.2582,1667.031,1660.6218,1702.281,1724.7128,1910.5764,1913.781,2213.4062,2200.588,2759.7812,2476.179,2830.2812,3192.395,2788.6223,2894.3723,3102.668,2990.5088,2936.0315,2843.0996,2573.1165,2478.182,2239.0425,2086.8267,1900.9629,1913.781,1628.5764,1493.9854,1891.3491,1900.9629,2057.9856,2041.9629,2307.9402,2440.929,2506.9226,2851.1108,2968.077,2710.1108,2920.0088,2987.3042,3125.0996,3224.4407,2847.9062
5019.2007,5408.473,5315.1763,5714.1,5797.7456,5974.6875,6147.206,6478.168,6785.4033,6433.128,6833.66,7399.8745,6949.477,6926.957,6804.706,6801.4893,6170.128,6333.397,6091.308,5919.996,5723.7515,5646.5405,5231.5312,5302.308,5302.308,5640.1064,5402.039,5752.7056,5714.1,6197.2725,6236.079,6685.6724,6505.5137,6643.8496,6846.529,6859.3975,7026.688,6807.9233,6592.376,6547.336,6342.244,6272.2715,6146.8037,5781.6597,5995.5986,5511.4214,5379.519,5492.1187
39756.79,38845.91,37921.82,35778.06,34364.37,33300.46,31347.53,30560.527,30006.71,30123.303,29540.34,31726.455,31697.309,34495.535,34087.46,39377.863,37636.258,40266.883,43793.82,40616.664,41666.0,44260.19,42190.668,42831.93,41126.758,39392.438,38337.637,36062.254,34728.723,33125.57,33271.312,30181.6,28607.596,31201.787,30968.602,33213.016,33183.867,34641.277,35544.87,36820.11,40718.684,42831.93,40033.7,42161.52,42861.08,43240.004,45746.75,42103.223
27193.959,26213.117,24964.773,23181.426,23538.094,23028.566,21907.605,24633.58,25397.871,26900.98,26467.88,31524.947,30147.629,35206.29,32327.455,36225.344,32747.816,36327.25,37601.07,33028.055,34543.902,33677.703,32047.215,30161.96,28327.658,25601.684,24608.104,23894.764,23920.24,21449.03,24760.96,22671.896,24404.293,26034.781,28697.066,29276.654,31798.82,32900.67,33244.605,33830.562,37346.305,36531.062,34747.715,34340.09,34824.14,35206.29,33652.227,29002.783
34802.746,33296.383,32504.805,31795.93,30023.738,31016.164,27660.816,29787.445,30898.02,30850.76,31819.559,35115.832,34595.992,37738.676,36763.97,39711.715,37425.59,40869.547,41483.906,38884.69,40467.848,39522.68,39239.13,35826.188,35275.33,33603.562,33804.41,31630.523,30590.84,28747.762,30070.996,29787.445,29503.895,32008.592,32835.613,33556.305,34814.56,36784.645,38482.996,38813.805,40893.176,40585.996,38967.395,39664.457,41176.727,40467.848,39924.375,36354.89
410.817,407.98825,410.27533,405.5808,398.2381,396.07138,381.14523,390.775,395.71027,390.53427,396.5529,408.28918,403.65485,419.33334,420.1383,430.85898,417.39233,436.7572,442.8962,429.4747,432.72473,439.5258,425.38205,425.65286,420.8267,417.21176,415.9027,404.49744,401.96964,388.12683,397.87698,390.17316,384.03415,399.0807,404.97894,409.73364,411.2985,420.15244,422.22226,426.61584,435.79425,437.96094,430.91916,430.43768,442.8962,432.96548,439.5258,426.25473
