V1,V2,V3,V4,V5,V6,V7,V8
6904.0605,6859.035,6861.4473,6813.206,6921.749,6880.744,6868.6836,6876.7236
7077.903,7036.6816,7024.904,6974.4287,7058.554,7043.4116,7038.364,6987.8887
7285.916,7213.112,7232.384,7133.8843,7253.7964,7236.666,7230.242,7221.6772
7652.409,7665.461,7646.608,7617.6035,7658.21,7731.446,7710.4175,7665.461
1043.9199,1055.8717,1170.3517,1352.0975,1048.6611,1052.1182,1169.5615,1348.9368
9803.197,9818.497,9861.335,9913.353,9913.353,9916.413,9943.952,10005.149
3341.9336,3335.2747,3321.9573,3341.9336,3355.2512,3340.9348,3332.2783,3350.59
2596.412,2590.3118,2602.5122,2624.299,2616.4558,2611.227,2628.6565,2650.4434
2473.4382,2463.417,2469.327,2483.4595,2479.862,2469.584,2476.2646,2490.654
2539.048,2530.8723,2544.473,2545.868,2540.288,2529.516,2545.248,2547.418
1154.3859,1152.951,1151.6915,1150.8536,1155.6125,1154.4515,1152.5896,1153.7506
3221.4778,3128.0527,3257.8682,3360.0408,3228.476,3154.9956,3269.0652,3406.2285
1765.4899,1780.8168,1787.8417,1786.5643,1820.4114,1820.4114,1829.352,1819.134
12179.938,12115.6,12098.052,12372.957,12337.863,12215.033,12273.523,12419.75
1212.1094,1232.6675,1295.6993,1317.0332,1232.4735,1241.4435,1296.863,1311.2148
2059.9565,2050.1746,2110.2634,2124.2378,2127.0325,2090.6997,2154.981,2163.3655
2430.8147,2442.7925,2430.11,2462.5205,2472.3845,2469.5662,2460.4067,2487.1804
4657.082,4546.847,4826.644,4730.5713,4686.937,4554.5024,4829.5146,4753.3457
5720.8003,5742.6704,5771.8306,5760.8955,5837.441,5848.376,5848.376,5870.246
6336.6377,6336.6377,6324.3857,6410.151,6449.9707,6410.151,6428.5293,6508.1685
9654.835,9694.941,9677.116,9784.065,9806.347,9797.435,9815.26,9922.209
5160.6074,5223.816,5294.0474,5368.961,5303.4116,5312.776,5378.325,5476.6494
5895.143,5864.6807,5953.679,6022.967,5926.203,5886.1836,5965.6255,6050.443
2329.7556,2326.0012,2343.1045,2335.4915,2331.8413,2330.1726,2343.5215,2335.4915
