V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37086.348,37383.355,37427.125,37445.883,37236.414,37536.547,37336.46,37603.766,37289.562,36980.05,37574.066,37398.99,37086.348
3685.0361,3753.3042,3760.2627,3730.172,3709.1086,3746.3457,3728.2913,3736.1902,3713.622,3704.595,3751.6116,3741.456,3657.2021
9666.747,9679.462,9676.572,9636.403,9617.042,9686.976,9665.013,9678.884,9656.921,9563.146,9611.551,9604.615,9599.559
2193.9739,2131.9395,2078.629,2157.1409,2177.496,2164.8953,2130.001,2096.076,2088.3218,2119.3389,2119.3389,2066.9973,2043.7346
1347.549,1462.8701,1337.6643,1340.9592,1350.8439,1482.6394,1405.2096,1512.2935,1317.895,1413.4468,1232.2278,1308.0103,1242.1125
486.0356,573.2748,512.17206,527.35944,461.31195,396.32407,470.49503,473.3206,459.19278,431.64355,486.0356,351.1151,431.64355
3240.0732,2780.4106,2660.695,2886.556,2623.4253,3098.8992,2982.007,2850.7153,2605.355,2867.3738,2655.048,2383.9941,2692.318
3033.4297,2705.5452,2154.551,2727.733,2504.007,2843.6018,2618.027,2459.6316,2502.7744,2563.7905,2545.3008,2216.1833,2367.568
6721.459,6450.3975,6355.265,6390.451,6283.5903,6494.7056,6317.473,6194.974,6533.8013,6437.3657,6536.407,5733.648,6205.3994
5070.262,5102.9224,5060.213,5084.4985,5031.7397,4957.626,5082.8237,4989.8677,4985.6807,5055.1885,4973.1187,4944.646,4921.8257
368.33658,347.77017,354.53174,355.0952,352.2779,350.02402,339.31824,345.51633,353.96826,360.72983,344.3894,339.88168,332.55667
1036.3218,1044.6957,1044.3995,1041.2761,1055.4392,1044.992,1044.0496,1054.0121,1032.7676,1033.9523,1037.3988,1048.5546,1034.1677
2250.5425,2226.4175,2220.5286,2229.2668,2221.6685,2220.3386,2207.9912,2206.0916,2231.5464,2234.2058,2219.5789,2186.1458,2257.761
2293.9143,2242.1646,2226.5637,2236.457,2239.8816,2236.457,2256.624,2247.4917,2239.8816,2242.5452,2240.262,2229.9883,2289.3481
4247.377,3972.424,3826.6992,4030.164,3656.2285,3727.716,3711.219,4016.4165,3980.6729,3636.9817,3691.9722,3537.9988,3900.9365
4247.377,3972.424,3826.6992,4030.164,3656.2285,3727.716,3711.219,4016.4165,3980.6729,3636.9817,3691.9722,3537.9988,3900.9365
11960.194,11968.051,11990.95,12038.421,12053.131,11944.148,12005.325,12023.043,12009.003,12039.759,12084.555,11908.461,11978.247
4351.8086,4395.4517,4364.278,4329.364,4318.141,4355.5493,4293.2026,4344.95,4396.0747,4346.821,4348.068,4386.0996,4367.3955
2649.233,2233.3677,2233.3677,2303.1846,2391.2144,2702.3542,2702.3542,2445.8535,2369.9658,2696.2832,2373.0012,2582.4517,2546.0254
4044.6638,3927.5195,3876.9866,3918.3315,4060.7424,4076.821,4219.232,4079.1182,4005.6157,3932.1133,3922.9255,4005.6157,3922.9255
1943.1385,1758.3958,1661.254,1661.254,1796.5586,1996.0461,1758.3958,1967.4241,1716.7637,1791.3546,1754.9265,1721.9677,1687.2742
3447.9324,3761.0166,3029.306,3700.0999,3230.4731,3489.0159,3456.4324,3153.9731,3316.8901,3884.9756,3476.2659,2961.3057,3316.8901
738.21423,743.9669,724.67847,728.7392,758.17944,734.83026,774.084,733.4767,750.3964,762.5786,743.62854,732.1231,742.27496
7152.3955,6592.8364,6368.918,6674.132,6452.5903,6936.876,6949.553,6820.2417,6545.771,6749.881,6219.322,6092.546,6370.1855
1124.1069,1064.5765,1032.8342,1053.3733,989.44946,1114.8809,1050.0782,1054.4717,1057.1077,1078.855,1032.0654,951.886,1009.06744
2716.181,2658.4504,2608.592,2587.599,2667.6348,2756.8547,2743.7341,2663.6987,2678.1313,2754.2307,2642.7056,2806.7131,2632.2092
2059.3892,1765.2214,1600.3582,1684.406,1891.2933,1674.7083,1474.2861,1888.0608,1635.9169,1435.4949,1593.8928,1820.1758,1526.008
4648.328,3645.004,2990.518,2774.5708,2841.016,3641.682,3880.8848,3251.731,3216.432,3586.8645,3401.233,2674.9028,3511.283
671.6826,646.93286,634.9383,659.568,627.01953,586.72705,678.89905,638.8977,636.33575,607.22266,648.0974,548.9965,576.94507
3302.405,3600.1094,3325.7961,3406.6016,3404.475,3507.6084,3722.7795,3438.4985,3492.7231,3504.4187,3665.498,3200.335,3210.9673
894.60693,712.8382,674.95526,758.9755,668.0043,758.71484,730.2157,776.8743,706.58234,787.04016,764.10187,690.24744,619.3472
4020.4272,4091.5227,3849.285,3927.1602,3682.5403,3942.0022,4106.1816,3793.9478,3787.351,4289.4175,3915.433,3474.3843,3909.936
1447.1077,1370.6167,1405.9202,1440.6888,1327.8245,1379.175,1341.7319,1314.9868,1339.5923,1304.2887,1375.9657,1222.9834,1197.3081
1233.0917,1164.0618,1106.4635,1130.0414,1133.9436,1198.3568,1102.0667,1143.7264,1152.1903,1143.8364,1140.319,1086.458,1111.8496
