V1,V2,V3,V4,V5,V6
7313.8037,7340.561,7349.683,7362.1494,7379.253,7375.9844
1563.8535,1572.5112,1572.5112,1598.4841,1628.786,1687.2251
8559.089,8775.815,8977.423,9168.949,9410.877,9572.162
9856.829,10083.963,10283.397,10527.151,10804.144,11014.658
6906.4653,7190.808,7442.088,7680.1416,7971.097,8156.2505
3966.0098,4116.8174,4228.284,4392.206,4562.684,4713.492
3519.62,3594.7607,3669.9011,3804.0806,3916.791,4040.2363
2397.7478,2395.7146,2397.9326,2400.1504,2401.0747,2399.7808
2273.7148,2295.0735,2309.6873,2328.7976,2349.032,2362.5217
2245.554,2253.2546,2258.9019,2269.1694,2281.4907,2290.7314
1473.3182,1489.1299,1500.0764,1513.4554,1529.267,1541.4298
1980.5774,2034.2627,2081.7534,2133.374,2187.0593,2230.4204
4905.959,5057.389,5200.8496,5320.4,5487.7705,5599.3506
5134.8975,5181.857,5294.5596,5369.6943,5441.6987,5488.658
5455.504,5536.364,5702.126,5815.3296,5928.533,6009.3926
2653.4163,2702.976,2742.624,2791.753,2815.8865,2845.1917
3839.5505,3904.155,3966.0679,4022.597,4089.8933,4146.4224
3228.9663,3266.4292,3313.2578,3368.5159,3405.9788,3428.4565
2700.323,2872.2954,3072.9297,3254.4563,3435.9827,3674.8333
6340.717,6427.018,6542.0864,6662.908,6777.9766,6910.305
8994.73,9266.205,9601.557,9952.876,10288.227,10671.485
4072.2656,4170.868,4299.8096,4428.7515,4588.032,4807.991
9043.149,9083.265,9031.6875,9129.11,9192.148,9358.34
8161.0244,8283.6045,8353.65,8552.113,8645.508,8890.669
2261.4465,2321.0466,2380.6467,2461.2822,2555.9414,2650.6006
6875.655,6951.0435,7064.127,7265.1636,7403.376,7717.496
1668.479,1690.1849,1722.7439,1779.7222,1831.2739,1899.105
1611.5057,1623.6135,1638.143,1662.3585,1688.9957,1739.8486
4072.8042,4100.633,4123.402,4158.8203,4204.358,4234.7163
4373.3745,4472.5103,4552.763,4637.737,4727.431,4802.9634
3675.1497,3682.5378,3680.896,3689.9258,3700.5974,3707.9854
5344.189,5395.5083,5446.827,5520.5986,5591.162,5668.1406
1242.69,1256.0865,1266.804,1279.3074,1292.7041,1300.7421
